RunId;TradeId;Instrument;AccountName;StrategyName;EntrySignal;ExitSignal;Direction;Quantity;EntryTime;EntryBar;EntryPrice;EntryBid;EntryAsk;EntrySpreadTicks;EntryPred;EntryThreshold;EntryRiskState;InitialSimSL;InitialRiskTicks;StopTicks;OneRTicks;AtrPeriod;VolatilityMultiplier;FreeTradeActivation_R;TrailingActivation_R;StructuralLookbackBars;ChandelierAtrMultiplier;TrailUpdateMinMs;StopMarketSafetyTicks;CatastrophicStopTicks;ExitTime;ExitBar;ExitPrice;ExitReason;ExitOrderName;ExitOrderState;ExitError;ExitNativeError;ExitRiskState;ExitRetryStage;UnmanagedExitAttempts;AccountFlattenAttempted;TouchSource;HoldingMs;HoldingBars;MaxFavorableTicks;MaxAdverseTicks;MaxOpenProfitTicks;MaxOpenLossTicks;FinalPnLTicks;FinalPnLPoints;TicksGivenBackFromBest;GivebackPercentOfMFE;ProfitTurnedPositiveTime;ProfitTurnedPositiveBar;ProfitTurnedPositiveAtTicks;WasInProfit;WasProfitThenLoss;SimSLAtEntry;SimSLAtFirstProfit;SimSLAtTrailActivation;SimSLAtMaxFavorable;SimSLAtExit;LastCheckPriceAtExit;DistToSimSLTicksAtExit;PostEntryLow;PostEntryHigh;BestBidAtExit;BestAskAtExit;LowAtExitBar;HighAtExitBar;CloseAtExitBar;ExitWasSLTouch;ExitWasRetry;ExitWasEmergency;ExitWasUnmanaged;ExitWasAccountFlatten;ExitWasCatastrophic;RlsPredAtEntry;RlsPredAtExit;LastPredDir;RegimeIsLargeTick;SpreadTicksAtExit;VfDeltaNormAtEntry;VfDeltaNormAtExit;VfImbNearAtEntry;VfImbNearAtExit;OfiProxyAtEntry;OfiProxyAtExit;DR_MO_Entry;DR_LO_Entry;DR_CA_Entry;DR_MO_Exit;DR_LO_Exit;DR_CA_Exit;TrailMoveCount;FirstTrailMoveTime;LastTrailMoveTime;BestSimSL;MaxDistanceFromSimSLTicks;MinDistanceFromSimSLTicks;TrailShouldHaveActivated;TrailActivationReachedTime;TrailActivationReachedBar;TrailActivationReachedAtTicks;FirstTrailMoveDelayMs;FirstTrailMoveDelayTicksFromActivation;MaxFavorablePrice;MaxFavorableTime;MaxFavorableBar;DistancePriceToSimSLTicksAtMaxFavorable;DistancePriceToSimSLTicksAtExit;SimSLAtExit_dup_check;ReachedTrailActivationButNoTrailMove;ClosedAfterGivingBackMoreThan50PctMFE;ClosedAfterGivingBackMoreThan75PctMFE;ATRTicksAtEntry;RawOneRTicks;ClampedOneRTicks;OneRWasClamped;OneRCalibrationMode;FinalR;MFE_R;MAE_R;ETD_R;AtrExpansionRatioAtEntry;EntryRejectedBySpread;EntryRejectedByOpeningNoise;EntryRejectedByLowConviction;EntryRejectedByDirectionalFilter;SpreadAtReject;GateTimeAtReject;EarlyFailureHeldMs;EarlyFailureMfeR;EarlyFailureMaeR;EventType
20260617_173239;1;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_996_1;;Short;1;2025-09-15 10:41:11.000;996;24495.2500;24495.2500;24495.7500;2.0000;-11.1459;5.0000;ARMED;0.0000;15.0000;14;15.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-15 10:42:00.000;996;24495.2500;ENTRY_FILLED;;;;;ARMED;0;0;0;;0;0;0.0000;0.0000;0.0000;0.0000;0;0;0;0;;0;0;0;0;0.0000;0.0000;0.0000;0.0000;24499.0000;0.0000;0;24495.2500;24495.2500;24495.2500;24495.7500;24494.0000;24497.0000;24495.0000;0;0;0;0;0;0;4.9164;4.9164;0;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9870;1.0000;0.9850;0.9870;1.0000;0.9850;0;;;0.0000;0.0000;0;0;;-1;0.0000;0;0;24495.2500;2025-09-15 10:41:11.000;996;0;0;24499.0000;0;0;0;33.5489;15.0000;15.0000;0;Balanced;0;0;0;0;0.9441;0;0;1;0;0.0000;;0.0000;0.0000;0.0000;ENTRY_FILLED
20260617_173239;1;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_996_1;;Short;1;2025-09-15 10:41:11.000;996;24495.2500;24495.2500;24495.7500;2.0000;-11.1459;5.0000;ARMED;0.0000;15.0000;14;15.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-15 10:50:00.000;1004;24495.0000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;18.0000;-40.0000;18.0000;-40.0000;0;0;0;0;;0;0;0;0;24499.0000;24499.0000;0.0000;24499.0000;24495.0000;24490.7500;0;24495.2500;24505.2500;24490.2500;24490.5000;24490.7500;24492.7500;24490.7500;0;0;0;0;0;0;4.9164;4.9164;0;0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9870;1.0000;0.9850;0.8634;1.0000;0.9978;1;2025-09-15 10:50:00.000;2025-09-15 10:50:00.000;24495.0000;33.0000;-25.0000;0;;-1;0.0000;0;0;24490.7500;2025-09-15 10:49:00.000;1003;0;0;24495.0000;0;0;0;33.5489;15.0000;15.0000;0;Balanced;0;0;0;0;0.8798;0;0;1;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;1;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_996_1;EISLER_NQ_ENH_AE72_EXIT_SLTOUCH_1015_0;Short;1;2025-09-15 10:41:11.000;996;24495.2500;24495.2500;24495.7500;2.0000;-11.1459;5.0000;ARMED;0.0000;15.0000;14;15.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-15 11:00:01.000;1015;24513.7500;EXIT_FILLED;EISLER_NQ_ENH_AE72_EXIT_SLTOUCH_1015_0;Filled;;;SL_TOUCHED;0;0;0;POST_ENTRY_HIGH_POST_HARD_CONFIRMED;1130000.0000;19;50.0000;-74.0000;50.0000;-74.0000;-74.0000;-18.5000;124.0000;248.0000;2025-09-15 10:42:00.000;996;1.0000;1;1;24499.0000;24499.0000;24495.0000;24495.0000;24495.0000;24513.7500;-75.0000;24495.2500;24513.7500;24510.0000;24513.7500;24503.7500;24513.7500;24510.0000;1;0;0;0;0;0;4.9164;4.9164;0.0000;0;15.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9870;1.0000;0.9850;0.9807;1.0000;1.0250;1;2025-09-15 10:50:00.000;2025-09-15 10:50:00.000;24495.0000;49.0000;-75.0000;1;2025-09-15 10:50:00.000;1004;30.0000;0.0000;0.0000;24482.7500;2025-09-15 10:50:00.000;1004;49.0000;-75.0000;24495.0000;0;1;1;33.5489;15.0000;15.0000;0;Balanced;-4.9333;3.3333;-4.9333;8.2667;0.9319;0;0;1;0;0.0000;;0.0000;0.0000;0.0000;TRADE_COMPLETED
20260617_173239;2;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_1018_2;;Short;1;2025-09-15 11:03:21.000;1018;24506.2500;24506.2500;24506.5000;1.0000;-15.5529;5.0000;ARMED;0.0000;12.0000;14;12.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-15 11:04:00.000;1018;24506.2500;ENTRY_FILLED;;;;;ARMED;0;0;0;;0;0;0.0000;0.0000;0.0000;0.0000;0;0;0;0;;0;0;0;0;0.0000;0.0000;0.0000;0.0000;24509.2500;0.0000;0;24506.2500;24506.2500;24506.2500;24506.5000;24504.2500;24506.5000;24505.7500;0;0;0;0;0;0;-8.4808;-8.4808;1;0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.8832;1.0000;1.0681;0.8832;1.0000;1.0681;0;;;0.0000;0.0000;0;0;;-1;0.0000;0;0;24506.2500;2025-09-15 11:03:21.000;1018;0;0;24509.2500;0;0;0;27.6006;12.0000;12.0000;0;Balanced;0;0;0;0;0.9108;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;ENTRY_FILLED
20260617_173239;2;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_1018_2;;Short;1;2025-09-15 11:03:21.000;1018;24506.2500;24506.2500;24506.5000;1.0000;-15.5529;5.0000;ARMED;0.0000;12.0000;14;12.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-15 11:04:00.000;1018;24506.0000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;;0;0;14.0000;-5.0000;14.0000;-5.0000;0;0;0;0;;0;0;0;0;24509.2500;24509.2500;0.0000;24509.2500;24506.0000;24502.7500;0;24506.2500;24507.5000;24502.0000;24502.5000;24502.2500;24507.5000;24502.2500;0;0;0;0;0;0;-8.4808;-8.4808;1;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.8832;1.0000;1.0681;0.8684;1.0000;1.0681;1;2025-09-15 11:04:00.000;2025-09-15 11:04:00.000;24506.0000;26.0000;7.0000;0;;-1;0.0000;0;0;24502.7500;2025-09-15 11:04:00.000;1018;0;0;24506.0000;0;0;0;27.6006;12.0000;12.0000;0;Balanced;0;0;0;0;0.9378;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;2;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_1018_2;EISLER_NQ_ENH_AE72_EXIT_SLTOUCH_1018_0;Short;1;2025-09-15 11:03:21.000;1018;24506.2500;24506.2500;24506.5000;1.0000;-15.5529;5.0000;ARMED;0.0000;12.0000;14;12.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-15 11:03:51.000;1018;24508.2500;EXIT_FILLED;EISLER_NQ_ENH_AE72_EXIT_SLTOUCH_1018_0;Filled;;;SL_TOUCHED;0;0;0;ASK_CROSS_BREACH_CONFIRMED;30000.0000;0;15.0000;-7.0000;15.0000;-7.0000;-8.0000;-2.0000;23.0000;153.3333;2025-09-15 11:04:00.000;1018;1.0000;1;1;24509.2500;24509.2500;0.0000;24506.0000;24506.0000;24508.0000;-9.0000;24506.2500;24508.0000;24507.5000;24508.0000;24502.2500;24507.7500;24507.7500;1;0;0;0;0;0;-8.4808;-8.4808;1.0000;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.8832;1.0000;1.0681;1.0112;1.0000;1.0681;1;2025-09-15 11:04:00.000;2025-09-15 11:04:00.000;24506.0000;26.0000;-8.0000;0;;-1;0.0000;0.0000;0.0000;24502.5000;2025-09-15 11:04:00.000;1018;14.0000;-9.0000;24506.0000;0;1;1;27.6006;12.0000;12.0000;0;Balanced;-0.6667;1.2500;-0.5833;1.9167;0.9400;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRADE_COMPLETED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:25:00.000;2419;24529.5000;ENTRY_FILLED;;;;;ARMED;0;0;0;;0;0;0.0000;0.0000;0.0000;0.0000;0;0;0;0;;0;0;0;0;0.0000;0.0000;0.0000;0.0000;24533.0000;0.0000;0;24529.5000;24529.5000;24529.2500;24529.5000;24524.7500;24532.2500;24529.5000;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;1.2155;1.0000;1.0000;0;;;0.0000;0.0000;0;0;;-1;0.0000;0;0;24529.5000;2025-09-16 11:24:01.000;2419;0;0;24533.0000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9679;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;ENTRY_FILLED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:25:00.000;2419;24529.2500;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;;0;0;17.0000;-9.0000;17.0000;-9.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;0.0000;24533.0000;24529.2500;24525.2500;0;24529.5000;24531.7500;24524.7500;24525.0000;24524.7500;24532.2500;24525.0000;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.8567;1.0000;1.0000;1;2025-09-16 11:25:00.000;2025-09-16 11:25:00.000;24529.2500;31.0000;5.0000;0;;-1;0.0000;0;0;24525.2500;2025-09-16 11:25:00.000;2419;0;0;24529.2500;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9679;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:39:00.000;2433;24527.7500;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;78.0000;-11.0000;78.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24529.2500;24527.7500;24511.2500;0;24529.5000;24532.2500;24510.7500;24511.2500;24511.2500;24511.2500;24511.2500;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.7255;1.0000;0.9855;2;2025-09-16 11:25:00.000;2025-09-16 11:39:00.000;24527.7500;77.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24510.0000;2025-09-16 11:38:00.000;2432;0;0;24527.7500;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.8279;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:42:00.000;2436;24527.5000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;88.0000;-11.0000;88.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24527.7500;24527.5000;24507.5000;0;24529.5000;24532.2500;24507.0000;24507.5000;24507.0000;24514.2500;24507.0000;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.6623;1.0000;1.0018;3;2025-09-16 11:25:00.000;2025-09-16 11:42:00.000;24527.5000;81.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24507.5000;2025-09-16 11:42:00.000;2436;0;0;24527.5000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9483;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:42:00.000;2436;24526.5000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;94.0000;-11.0000;94.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24527.5000;24526.5000;24507.0000;0;24529.5000;24532.2500;24506.7500;24507.2500;24505.7500;24514.2500;24507.0000;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.7142;1.0000;1.0018;4;2025-09-16 11:25:00.000;2025-09-16 11:42:00.000;24526.5000;86.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24506.0000;2025-09-16 11:42:00.000;2436;0;0;24526.5000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9600;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:43:00.000;2437;24525.0000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;94.0000;-11.0000;94.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24527.5000;24525.0000;24508.0000;0;24529.5000;24532.2500;24507.7500;24508.0000;24507.7500;24507.7500;24507.7500;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.7763;1.0000;1.0018;5;2025-09-16 11:25:00.000;2025-09-16 11:43:00.000;24525.0000;86.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24506.0000;2025-09-16 11:42:00.000;2436;0;0;24525.0000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.8989;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:43:00.000;2437;24524.7500;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;99.0000;-11.0000;99.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24525.0000;24524.7500;24504.7500;0;24529.5000;24532.2500;24504.2500;24504.7500;24504.2500;24509.5000;24504.2500;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.6954;1.0000;1.0018;6;2025-09-16 11:25:00.000;2025-09-16 11:43:00.000;24524.7500;86.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24504.7500;2025-09-16 11:43:00.000;2437;0;0;24524.7500;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9488;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:43:00.000;2437;24524.5000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;101.0000;-11.0000;101.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24524.7500;24524.5000;24505.0000;0;24529.5000;24532.2500;24504.5000;24505.0000;24504.0000;24509.5000;24505.2500;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.6874;1.0000;1.0018;7;2025-09-16 11:25:00.000;2025-09-16 11:43:00.000;24524.5000;86.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24504.2500;2025-09-16 11:43:00.000;2437;0;0;24524.5000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9511;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:43:00.000;2437;24524.0000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;106.0000;-11.0000;106.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24524.5000;24524.0000;24503.7500;0;24529.5000;24532.2500;24503.2500;24503.7500;24502.7500;24509.5000;24503.7500;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;2.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.6813;1.0000;1.0018;8;2025-09-16 11:25:00.000;2025-09-16 11:43:00.000;24524.0000;86.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24503.0000;2025-09-16 11:43:00.000;2437;0;0;24524.0000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9629;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 11:44:00.000;2438;24522.0000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;108.0000;-11.0000;108.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24524.0000;24522.0000;24506.5000;0;24529.5000;24532.2500;24506.2500;24506.5000;24506.2500;24506.2500;24506.2500;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.7491;1.0000;1.0018;9;2025-09-16 11:25:00.000;2025-09-16 11:44:00.000;24522.0000;86.0000;-12.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24502.5000;2025-09-16 11:43:00.000;2437;0;0;24522.0000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9061;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 12:02:00.000;2456;24521.5000;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;108.0000;-11.0000;108.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24524.0000;24521.5000;24505.5000;0;24529.5000;24532.2500;24504.7500;24505.5000;24505.5000;24505.5000;24505.5000;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;3.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.8732;1.0000;0.9751;10;2025-09-16 11:25:00.000;2025-09-16 12:02:00.000;24521.5000;86.0000;-14.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24502.5000;2025-09-16 11:43:00.000;2437;0;0;24521.5000;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;0.9071;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
20260617_173239;3;NQ 12-25;Playback101;eisler950_AdaptiveEdge_v7_4;EISLER_NQ_ENH_AE72_SHORT_2419_4;;Short;1;2025-09-16 11:24:01.000;2419;24529.5000;24529.2500;24529.5000;1.0000;-37.5454;5.0000;ARMED;0.0000;14.0000;14;14.0000;14;0.4500;1.2500;2.0000;3;3.0000;200;4;60;2025-09-16 12:04:00.000;2458;24521.2500;TRAIL_SL_MOVED;;;;;ARMED;0;0;0;POST_ENTRY_HIGH_DELAYED_UNTIL_MIN_HOLD;0;0;118.0000;-11.0000;118.0000;-11.0000;0;0;0;0;;0;0;0;0;24533.0000;24533.0000;24529.2500;24521.5000;24521.2500;24500.0000;0;24529.5000;24532.2500;24499.7500;24500.0000;24499.5000;24507.0000;24499.5000;0;0;0;0;0;0;-14.8055;-14.8055;-1;0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2155;1.0000;1.0000;0.6845;1.0000;0.9609;11;2025-09-16 11:25:00.000;2025-09-16 12:04:00.000;24521.2500;86.0000;-14.0000;0;2025-09-16 11:29:00.000;2423;28.0000;0;0;24500.0000;2025-09-16 12:04:00.000;2458;0;0;24521.2500;0;0;0;30.4450;14.0000;14.0000;0;Balanced;0;0;0;0;1.0174;0;0;0;0;0.0000;;0.0000;0.0000;0.0000;TRAIL_SL_MOVED
